"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"21.09.2018","80,00","78,67","80,12","78,64","-","1,65%"
"20.09.2018","78,70","79,44","79,83","78,51","300,16K","-0,88%"
"19.09.2018","79,40","78,97","79,50","78,51","275,87K","0,47%"
"18.09.2018","79,03","77,78","79,73","77,46","259,18K","1,26%"
"17.09.2018","78,05","78,07","78,90","77,73","207,61K","-0,05%"
"14.09.2018","78,09","78,45","78,94","77,37","261,06K","-0,12%"
"13.09.2018","78,18","79,60","79,71","77,87","298,14K","-1,96%"
"12.09.2018","79,74","79,42","80,13","78,75","315,27K","0,86%"
"11.09.2018","79,06","77,38","79,54","77,36","280,31K","2,18%"
"10.09.2018","77,37","77,08","77,92","76,90","244,53K","0,70%"
"07.09.2018","76,83","76,69","77,10","75,88","209,00K","0,43%"
"06.09.2018","76,50","77,02","77,77","75,64","274,79K","-1,00%"
"05.09.2018","77,27","77,82","78,09","76,91","277,12K","-1,15%"
"04.09.2018","78,17","78,19","79,72","77,44","320,45K","0,03%"
"03.09.2018","78,15","77,69","78,44","77,30","110,91K","0,94%"
"31.08.2018","77,42","77,53","77,79","77,00","25,83K","-0,45%"
"30.08.2018","77,77","77,33","78,03","77,18","90,22K","0,82%"
"29.08.2018","77,14","75,99","77,42","75,67","130,44K","1,57%"
"28.08.2018","75,95","76,34","76,97","75,73","179,66K","-0,34%"
"27.08.2018","76,21","75,54","76,34","75,39","101,08K","0,51%"
"24.08.2018","75,82","74,73","76,42","74,68","235,09K","1,46%"
"23.08.2018","74,73","74,72","74,87","74,21","199,66K","-0,07%"
"22.08.2018","74,78","72,76","75,00","72,70","300,69K","2,96%"
"21.08.2018","72,63","72,15","72,95","72,05","201,24K","0,58%"
"20.08.2018","72,21","71,77","72,75","71,42","249,10K","0,53%"
"17.08.2018","71,83","71,35","72,49","71,25","217,16K","0,56%"
"16.08.2018","71,43","70,65","71,52","70,40","227,20K","0,95%"
"15.08.2018","70,76","72,22","72,44","70,30","298,11K","-2,35%"
"14.08.2018","72,46","72,82","73,93","72,16","242,75K","-0,21%"
"13.08.2018","72,61","73,00","73,09","71,04","220,34K","-0,27%"
"10.08.2018","72,81","71,97","73,14","71,40","228,74K","1,03%"
"09.08.2018","72,07","72,16","72,89","71,86","197,06K","-0,29%"
"08.08.2018","72,28","74,64","74,87","71,65","269,51K","-3,17%"
"07.08.2018","74,65","73,61","74,90","73,57","228,99K","1,22%"
"06.08.2018","73,75","73,21","74,47","73,08","200,58K","0,74%"
"03.08.2018","73,21","73,37","73,73","72,48","175,36K","-0,33%"
"02.08.2018","73,45","72,42","73,75","71,84","226,45K","1,46%"
"01.08.2018","72,39","74,07","74,12","72,13","284,02K","-2,51%"
"31.07.2018","74,25","74,93","75,10","74,14","21,88K","-0,96%"
"30.07.2018","74,97","74,31","75,27","74,14","81,03K","0,92%"
"27.07.2018","74,29","74,50","74,85","73,83","119,34K","-0,34%"
"26.07.2018","74,54","74,37","74,83","73,77","183,35K","0,83%"
"25.07.2018","73,93","73,70","74,60","73,07","210,87K","0,67%"
"24.07.2018","73,44","72,91","74,00","72,68","215,15K","0,52%"
"23.07.2018","73,06","73,22","74,50","72,52","316,98K","-0,01%"
"20.07.2018","73,07","72,65","73,47","72,26","231,51K","0,68%"
"19.07.2018","72,58","73,06","73,79","71,83","313,81K","-0,44%"
"18.07.2018","72,90","71,74","73,28","71,19","287,11K","1,03%"
"17.07.2018","72,16","72,01","72,78","71,35","286,44K","0,45%"
"16.07.2018","71,84","74,92","75,37","71,52","330,00K","-4,63%"
"13.07.2018","75,33","74,34","75,93","73,22","302,43K","1,18%"
"12.07.2018","74,45","74,17","75,10","72,67","416,41K","1,43%"
"11.07.2018","73,40","78,78","78,83","73,04","560,84K","-6,92%"
